Wavelength (nm),Intensity (a.u.),
220,28.39798164,
221,25.37673378,
222,22.82227325,
223,20.64639664,
224,18.80611801,
225,17.21211052,
226,15.83996391,
227,14.65004539,
228,13.59343338,
229,12.67144203,
230,11.85340023,
231,11.12364864,
232,10.47763252,
233,9.87870121,
234,9.329612732,
235,8.81969738,
236,8.34697628,
237,7.922028542,
238,7.528290272,
239,7.16650629,
240,6.82434082,
241,6.506221294,
242,6.216915607,
243,5.949746609,
244,5.705763817,
245,5.478468895,
246,5.271337032,
247,5.08550024,
248,4.917307377,
249,4.769977093,
250,4.638999462,
251,4.522102833,
252,4.416680336,
253,4.313513756,
254,4.216035366,
255,4.122422218,
256,4.036748409,
257,3.960145473,
258,3.887765884,
259,3.819902897,
260,3.75293684,
261,3.689822912,
262,3.630779982,
263,3.573808432,
264,3.516908407,
265,3.4602108,
266,3.405353308,
267,3.353986263,
268,3.303748846,
269,3.254949808,
270,3.208110571,
271,3.158661842,
272,3.107519388,
273,3.054131746,
274,3.000199318,
275,2.944963217,
276,2.892416,
277,2.841458082,
278,2.79206872,
279,2.744867802,
280,2.699921608,
281,2.656280041,
282,2.613679647,
283,2.572088242,
284,2.531507969,
285,2.491906404,
286,2.453276873,
287,2.415600061,
288,2.378855705,
289,2.343038082,
290,2.308116674,
291,2.274090767,
292,2.240931273,
293,2.208628654,
294,2.177165031,
295,2.146520615,
296,2.116688251,
297,2.087639093,
298,2.059370995,
299,2.031855106,
300,2.005082369,
301,1.97903502,
302,1.953693151,
303,1.929048657,
304,1.905074477,
305,1.881766081,
306,1.859097242,
307,1.837057114,
308,1.815628409,
309,1.794791579,
310,1.774537802,
311,1.754841208,
312,1.735695362,
313,1.717076063,
314,1.698971152,
315,1.681363702,
316,1.664234757,
317,1.647574067,
318,1.631357789,
319,1.61557734,
320,1.600210071,
321,1.585242867,
322,1.570659518,
323,1.556441188,
324,1.542576313,
325,1.52904284,
326,1.515830159,
327,1.502917647,
328,1.490291119,
329,1.477934361,
330,1.465829015,
331,1.453962684,
332,1.442314744,
333,1.430872679,
334,1.419617534,
335,1.408534288,
336,1.397606492,
337,1.386817336,
338,1.3761518,
339,1.365592003,
340,1.355123281,
341,1.344674945,
342,1.334066749,
343,1.323411942,
344,1.31283021,
345,1.302348137,
346,1.291984797,
347,1.281674623,
348,1.271322727,
349,1.260864258,
350,1.250155568,
351,1.238792062,
352,1.227551222,
353,1.216613531,
354,1.206175089,
355,1.196339369,
356,1.187152863,
357,1.178630352,
358,1.170726061,
359,1.163318276,
360,1.156265259,
361,1.149221063,
362,1.142601252,
363,1.136444092,
364,1.130766869,
365,1.125525594,
366,1.120726228,
367,1.116277456,
368,1.112085342,
369,1.108050823,
370,1.104046583,
371,1.099735141,
372,1.095537424,
373,1.091585159,
374,1.087927222,
375,1.084599495,
376,1.081616282,
377,1.07891953,
378,1.076468945,
379,1.074163318,
380,1.071913362,
381,1.069521189,
382,1.067214727,
383,1.064984441,
384,1.062830091,
385,1.060735106,
386,1.058670282,
387,1.056579828,
388,1.054412961,
389,1.052093387,
390,1.049549222,
391,1.046563029,
392,1.043458939,
393,1.040331125,
394,1.037235498,
395,1.034243822,
396,1.031391621,
397,1.028662443,
398,1.026075602,
399,1.023601174,
400,1.02121985,
401,1.018790007,
402,1.016451955,
403,1.014263749,
404,1.012250185,
405,1.010426641,
406,1.008790374,
407,1.007324457,
408,1.006009579,
409,1.004793644,
410,1.003651142,
411,1.00245595,
412,1.001430511,
413,1.000635862,
414,1.000139475,
415,1,
416,1.000231147,
417,1.000856161,
418,1.001891971,
419,1.0033288,
420,1.005168796,
421,1.007287979,
422,1.009848595,
423,1.012871504,
424,1.016360044,
425,1.020291567,
426,1.024619818,
427,1.029282689,
428,1.034203529,
429,1.039290547,
430,1.044458747,
431,1.049520969,
432,1.054551721,
433,1.059504151,
434,1.064336896,
435,1.068999052,
436,1.073426127,
437,1.077571511,
438,1.081362247,
439,1.084745526,
440,1.087677836,
441,1.090029478,
442,1.091912746,
443,1.09335196,
444,1.094394445,
445,1.095065951,
446,1.095420003,
447,1.095493913,
448,1.095347762,
449,1.095035076,
450,1.0946064,
451,1.094055772,
452,1.093553185,
453,1.093176603,
454,1.093004942,
455,1.09310317,
456,1.093502522,
457,1.094228268,
458,1.095274329,
459,1.096649528,
460,1.0983392,
461,1.100260258,
462,1.10248661,
463,1.105016828,
464,1.107847452,
465,1.11096251,
466,1.1143502,
467,1.117966175,
468,1.121800303,
469,1.125816464,
470,1.129976153,
471,1.134204149,
472,1.138545275,
473,1.143011928,
474,1.147601247,
475,1.152314663,
476,1.157139897,
477,1.162060261,
478,1.167071342,
479,1.172160983,
480,1.177312732,
481,1.182466269,
482,1.187671304,
483,1.192942262,
484,1.198292732,
485,1.20372355,
486,1.209231257,
487,1.214805961,
488,1.220458031,
489,1.226170182,
490,1.231922865,
491,1.237681746,
492,1.243500113,
493,1.249391079,
494,1.255357504,
495,1.261408091,
496,1.267536998,
497,1.273739576,
498,1.280007482,
499,1.286330223,
500,1.29269135,
501,1.299049139,
502,1.305439472,
503,1.311879873,
504,1.318383932,
505,1.324953914,
506,1.331607699,
507,1.338341475,
508,1.345164657,
509,1.352063775,
510,1.359037757,
511,1.366079092,
512,1.373223901,
513,1.380481482,
514,1.387853503,
515,1.395345092,
516,1.402954817,
517,1.410669923,
518,1.418478012,
519,1.426373124,
520,1.434333682,
521,1.442330718,
522,1.450392485,
523,1.458528042,
524,1.46674335,
525,1.475050449,
526,1.483448267,
527,1.491935611,
528,1.500510812,
529,1.509173274,
530,1.51793468,
531,1.526786804,
532,1.535750031,
533,1.544825077,
534,1.554018855,
535,1.563333631,
536,1.57277751,
537,1.5823493,
538,1.592043638,
539,1.601858735,
540,1.611777544,
541,1.621775985,
542,1.631872892,
543,1.642065883,
544,1.652371287,
545,1.66278863,
546,1.673309445,
547,1.683930874,
548,1.694658875,
549,1.705493927,
550,1.716441035,
551,1.727481246,
552,1.738626122,
553,1.749889612,
554,1.761277556,
555,1.772809148,
556,1.784502149,
557,1.79635036,
558,1.808339357,
559,1.820463061,
560,1.832719088,
561,1.845084429,
562,1.857587695,
563,1.870221376,
564,1.882990479,
565,1.895877242,
566,1.908874631,
567,1.921984076,
568,1.935209751,
569,1.948546171,
570,1.961984158,
571,1.975521445,
572,1.989163041,
573,2.002901554,
574,2.016745806,
575,2.030692339,
576,2.044733286,
577,2.058852196,
578,2.073047876,
579,2.087328434,
580,2.101694345,
581,2.11612916,
582,2.130649805,
583,2.145237923,
584,2.159892082,
585,2.174618483,
586,2.1894238,
587,2.204315662,
588,2.21930337,
589,2.234395266,
590,2.249594688,
591,2.264928818,
592,2.280390024,
593,2.295972586,
594,2.311693668,
595,2.327558041,
596,2.343583584,
597,2.359796762,
598,2.376199961,
599,2.392808676,
600,2.409609795,
